Id,Sex,Name,Password,Country,EMail,ContactNumber,ResultId,CompetentionId,BDay,PicPath
1,1,Pavel Preton,123,Brazil,PaPr236@gmail.com,2767597,0,0,08/10/1998 12:47:41,
2,1,Bob Parker,123,China,BoPa590@gmail.com,2306673,0,0,09/04/1998 17:48:21,
3,1,Jabba Caramba,123,Russia,JaCa223@gmail.com,2848124,0,0,05/15/1991 08:01:37,
4,1,Jabba Smith,123,Switzerland,JaSm806@gmail.com,2108832,0,0,12/29/1993 04:48:40,
5,1,John Smith,123,Germany,JoSm772@gmail.com,2556899,0,0,05/06/1994 04:59:36,
6,0,Elena Caramba,123,Russia,ElCa124@gmail.com,2510478,0,0,06/14/1993 21:46:50,
7,0,Tanya Parker,123,Brazil,TaPa748@gmail.com,2350062,0,0,07/28/2001 11:46:25,
8,0,Jane Parker,123,Belarus,JaPa302@gmail.com,2982131,0,0,01/30/1992 12:41:06,
9,0,Sophie Parker,123,Japan,SoPa758@gmail.com,2434022,0,0,02/04/2002 07:25:53,
10,0,Darya Dzerghinsky,123,Canada,DaDz749@gmail.com,2413648,0,0,03/01/1995 23:19:08,
