Id,Sex,Name,Password,Country,EMail,ContactNumber,ResultId,CompetentionId,BDay,PicPath
1,0,Trisha Parker,123,USA,TrPa357@gmail.com,2815484,0,4,12/27/1992 19:16:10,
2,1,Charlie Dzerghinsky,123,Italy,ChDz511@gmail.com,2927351,0,4,10/15/1998 11:19:28,
3,1,John Caramba,123,South Korea,JoCa380@gmail.com,2806431,0,4,03/10/1991 20:06:28,
4,1,Charlie Smith,123,Spain,ChSm188@gmail.com,2687542,0,16,03/27/1996 07:45:30,
5,1,Sergey Dzerghinsky,123,Spain,SeDz999@gmail.com,2710971,0,8,12/08/1992 21:18:24,
6,0,Elena Preton,123,Spain,ElPr540@gmail.com,2269974,0,11,08/27/1995 15:42:56,
7,0,Darya Parker,123,Germany,DaPa224@gmail.com,2530686,0,9,05/22/1997 14:40:03,
8,1,Bob Potter,123,Spain,BoPo587@gmail.com,2406242,0,7,09/05/1997 01:28:58,
9,1,Cid Parker,123,Canada,CiPa319@gmail.com,2833557,0,6,12/18/2001 04:09:10,
10,0,Sophie Smith,123,USA,SoSm393@gmail.com,2302816,0,13,10/07/1993 16:39:07,
