Id,Sex,Name,CompetentionId,Place
1,1,Mark Sergushev,2,Бийск
2,1,Bob Sergushev,4,Москва
3,1,Sergey Smith,4,Владивосток
4,1,John Perky,10,Хабаровск
5,1,Sam Sergushev,1,Новгород
6,1,John Perky,18,Новосибирск
7,0,Tanya Parker,15,Белгород
8,1,Igor Parker,16,Воронеж
9,0,Trisha Preton,9,Санкт-Петербург
10,1,Mark Dzerghinsky,9,Владивосток
11,1,Sam Caramba,1,Белгород
12,1,John Potter,15,Москва
13,0,Jane Smith,8,Москва
14,1,Charlie Preton,7,Новосибирск
15,0,Elena Smith,14,Хабаровск
16,0,Darya Dzerghinsky,4,Воронеж
17,0,Trisha Belkov,6,Москва
18,1,Pavel Sergushev,9,Новгород
19,1,Cid Caramba,6,Санкт-Петербург
20,0,Sasha Sergushev,9,Москва
